,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,Worms,,,,Schistosomiasis,,LF,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + D,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of CQ + PG,Impact of AL,Impact of AL+PQ,Impact of AS + AQ,Impact of DHA-PPQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,AL,AL + PQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of ATV/r,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,"23,419.15","169,479.83",0.00,0.00,0.00,132.48,"193,031.46","340,840.44",0.00,0.00,0.00,"273,578.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"614,418.82",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"614,418.82","11,493.72",99.33,"4,708.86",0.00,"5,202.03","4,777.15",651.62,133.94,"7,219.49","2,135.12",0.00,0.00,"36,421.26", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  1,154.28 ","  1,154.28 ",,  16.00 ,  16.00 ,"1,459,460.65",, Chad,"19,136.57","122,062.60",0.00,0.00,0.00,212.01,"141,411.18","144,009.31",0.00,0.00,0.00,0.00,"148,033.32",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"292,042.62",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"292,042.62","1,037.43",63.30,430.89,1.81,9.24,693.90,238.37,113.73,456.47,13.25,798.43,"3,856.83", , , , , , , , ,0.00,0.00,0.00,0.00,"  3,389.25 ","3,389.25",4.48,4.48,,  38.20 ,38.20,"440,742.57"
Chile,"2,984.71","15,278.23",2.85,0.44,4.96,1.17,"18,272.37",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,279.66,7.06,222.64,0.17,13.99,194.34,20.36,29.81,44.16,56.50,31.77,0.10,900.54, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"19,173.00",, Chile,"1,419.14","9,052.01",11.18,4.72,42.14,2.08,"10,531.27",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.02,0.45,44.72,0.00,0.00,96.86,34.51,9.57,49.32,1.77,115.57,475.80, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"11,007.07"
China,"39,843.43","1,896,250.56",108.67,16.82,183.48,"1,166.40","1,937,569.36",0.00,0.00,45.49,0.00,39.07,0.00,0.00,38.25,43.34,0.00,0.00,0.00,0.00,0.00,166.15,406.71,0.00,0.00,0.00,0.00,0.00,0.00,406.71,572.86,"17,575.57",44.85,"7,237.98",0.00,"7,890.51","7,463.24","1,063.62",129.27,"11,040.51","3,465.85",0.00,0.00,"55,911.39", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,,  -   ,"1,994,219.77",, China,"209,261.29","1,334,772.87","53,103.01","5,103.37","49,026.01","3,844.66","1,655,111.22",0.00,0.00,0.00,13.45,14.16,12.62,0.00,0.00,0.00,0.00,0.00,0.00,15.07,0.00,0.00,0.00,0.00,0.00,55.30,"1,609.22",0.00,0.00,0.00,0.00,0.00,"1,609.22","1,664.52","11,785.55",47.88,"4,402.36",0.00,0.00,"9,084.85","3,320.23","1,004.00","4,828.64",188.28,"10,997.43","45,659.22", , , , , , , , ,0.00,0.00,0.00,0.00,  -   ,0.00,0.00,0.00,,,0.00,"1,702,434.95"
"China, Hong Kong SAR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,," China, Hong Kong SAR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
"China, Macao SAR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,," China, Macao SAR",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Colombia,"10,682.95","51,059.39",24.76,3.83,42.89,9.20,"61,823.01",0.00,0.00,0.00,32.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.18,58.85,0.00,0.00,0.00,0.00,0.00,0.00,58.85,91.03,722.55,19.74,563.60,0.00,39.20,493.93,56.19,78.93,117.85,156.20,88.03,0.00,"2,336.21","  1,642.97 ","  1,066.85 ", ,  453.05 ,  56.13 ,  100.80 ,  175.27 , ,"  2,709.82 ",  509.18 ,  276.07 ,"  3,495.06 ",,  -   ,,,  -   ,"67,777.50",, Colombia,"3,252.39","20,745.38",212.80,37.56,344.04,21.31,"24,613.48",9.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.55,"8,179.98",29.15,"2,952.23",0.00,0.00,"6,473.20","2,290.53",622.53,"3,259.94",114.83,"7,697.88","31,620.27",  272.32 ,  203.95 , ,  80.08 ,  13.94 ,  25.66 ,  40.53 , ,476.27,94.02,66.19,636.47,,0.00,,0.00,,,0.00,"56,879.77"
Comoros,0.00,"11,366.45",0.00,0.00,0.00,7.33,"11,373.78","16,347.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"16,347.34",47.66,36.95,37.83,19.87,47.66,20.91,37.83,248.69,"16,596.03",0.05,0.00,0.02,0.00,0.02,0.02,0.00,0.00,0.03,0.01,0.00,0.00,0.15,  203.34 , , ,  42.90 , ,  12.63 , , ,  203.34 ,  42.90 ,  12.63 ,  258.87 ,,  -   ,  2.74 ,,  2.74 ,"44,578.91",, Comoros,"1,034.83","6,600.67",0.00,0.00,0.00,0.00,"7,635.50",777.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,777.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,777.09,1.84,0.01,0.68,0.00,0.00,1.42,0.52,0.15,0.75,0.03,1.72,7.11,  51.28 , ,  46.31 ,  40.58 , ,  18.49 , ,  52.06 ,97.59,40.58,70.55,208.72,,0.00,,0.00,  5.60 ,  3.96 ,9.55,"8,637.98"
Republic of the Congo,"7,742.29","52,371.63",0.00,0.00,0.00,41.44,"60,155.35",0.00,0.00,0.00,0.00,"142,676.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"142,676.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"142,676.35","7,507.35",134.66,"3,037.84",0.00,"3,430.14","3,071.67",397.49,138.21,"4,674.50","1,302.19",0.00,0.00,"23,694.06",  225.77 , ,  213.55 ,  94.04 , ,  29.42 , ,  77.82 ,  439.32 ,  94.04 ,  107.24 ,  640.60 ,  595.61 ,  595.61 ,,  22.24 ,  22.24 ,"370,460.56",, Congo,"4,018.58","25,632.50",239.59,3.28,44.44,59.91,"29,998.30",0.00,0.00,0.00,0.00,0.00,"41,313.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"41,313.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"41,313.86",426.33,1.70,158.60,0.00,0.00,329.78,120.07,35.79,174.13,6.70,398.26,"1,651.36","  1,038.84 ", ,  936.58 ,  204.41 , ,  54.57 , ,  147.07 ,"1,975.42",204.41,201.64,"2,381.47","  1,405.19 ","1,405.19",0.42,0.42,,  2.63 ,2.63,"76,753.24"
Cook Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Cook Islands,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Costa Rica,242.78,"3,024.64",0.00,0.00,0.00,0.14,"3,267.56",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,28.62,0.74,22.62,0.01,1.47,19.77,2.13,3.08,4.57,5.92,3.33,0.01,92.28, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,359.90",, Costa Rica,170.02,"1,084.50",0.00,0.00,0.00,0.00,"1,254.53",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.39,0.61,9.80,0.02,0.08,18.78,6.66,2.30,10.63,0.36,22.23,96.85, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,351.38"
Côte d'Ivoire,"45,851.44","219,578.31",0.00,0.00,0.00,186.94,"265,616.68",0.00,0.00,0.00,0.00,"1,033,559.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,033,559.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,033,559.83","62,080.18",655.80,"25,347.08",0.00,"28,133.83","25,814.71","3,498.52",812.83,"38,852.91","11,441.99",0.00,0.00,"196,637.84", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,"  7,423.72 ","  7,423.72 ",,  50.76 ,  50.76 ,"2,536,848.69",, Côte d'Ivoire,"22,783.62","145,325.29","6,651.24",193.95,"2,629.16",339.69,"177,922.96",0.00,0.00,0.00,0.00,0.00,"494,427.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"494,427.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"494,427.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,"  1,814.73 ","1,814.73",0.00,0.00,,  105.93 ,105.93,"674,271.50"
Croatia,592.02,"3,030.43",0.00,0.00,0.00,2.54,"3,624.99",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.24,0.00,2.17,0.00,2.36,2.20,0.31,0.03,3.33,1.02,0.00,0.00,16.66, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,641.65",, Croatia,170.53,"1,087.71",0.00,0.00,0.00,1.89,"1,260.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,260.12"
Cuba,189.58,"4,172.04",0.17,0.03,0.29,0.20,"4,362.32",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,244.11,6.13,194.46,0.08,12.15,170.65,17.72,25.50,38.07,49.17,27.64,0.05,785.72, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"5,148.04",, Cuba,132.67,846.25,11.59,1.41,11.16,0.87,"1,003.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.76,2.41,38.33,0.06,0.31,72.84,25.68,8.76,41.54,1.36,85.94,375.99, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,379.94"
Curaçao,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,0.00,, Curaçao,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,0.00
Cyprus,20.17,103.24,0.00,0.00,0.00,0.09,123.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.04,0.11,0.00,0.17,0.10,0.00,0.03,0.18,0.00,0.00,0.00,0.96, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,124.46,, Cyprus,9.88,63.04,0.00,0.00,0.00,0.11,73.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,73.04
Czech Republic,70.82,"3,724.88",1.66,0.26,6.07,0.07,"3,803.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.02,0.00,0.03,0.02,0.00,0.01,0.03,0.00,0.00,0.00,0.15, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"3,803.91",, Czech Republic,147.07,938.11,3.60,0.44,4.69,0.31,"1,094.23",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"1,094.23"
Democratic People's Republic of Korea,0.00,"193,456.50",0.00,0.00,0.00,124.84,"193,581.34",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,1.53,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"193,582.87",, Democratic People's Republic of Korea,"7,437.18","47,438.03","4,084.98",93.23,"1,290.57",196.08,"60,540.07",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"60,540.07"
Democratic Republic of the Congo,"250,632.95","1,724,152.72",30.39,4.71,66.03,844.27,"1,975,731.07",0.00,0.00,0.00,0.00,"4,182,697.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,182,697.43",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"4,182,697.43","21,841.19",582.54,"8,700.25",0.00,"10,022.74","8,981.76","1,131.01",546.44,"13,355.50","3,666.66",0.00,0.00,"68,828.08",  70.56 , ,  68.18 ,  91.15 , ,  6.79 , ,  14.73 ,  138.74 ,  91.15 ,  21.52 ,  251.41 ,"  10,823.41 ","  10,823.41 ",,  7.96 ,  7.96 ,"10,421,036.80",, Democratic Republic of the Congo,"162,543.36","1,036,782.57","17,458.51",668.91,"6,658.56",888.67,"1,225,000.57",0.00,0.00,0.00,0.00,0.00,"1,187,961.22",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,187,961.22",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,187,961.22","18,412.17","1,278.33","7,773.00",36.81,188.14,"12,017.74","4,090.62","2,094.37","8,193.82",228.66,"13,719.18","68,032.84","  114,634.83 ", ,"  81,135.14 ","  4,464.91 ", ,  145.98 , ,  478.17 ,"195,769.97","4,464.91",624.15,"200,859.03","  5,257.42 ","5,257.42","2,565.70","2,565.70",,  14.02 ,14.02,"2,689,690.81"
Denmark,0.00,"1,419.48",0.61,0.09,0.94,0.01,"1,421.14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.38,0.61,1.47,0.00,2.30,1.35,0.00,0.46,2.47,0.00,0.00,0.00,13.03, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"1,434.17",, Denmark,76.83,490.09,0.00,0.00,0.00,0.07,566.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,566.99
Djibouti,935.40,"11,043.90",0.00,0.00,0.00,8.05,"11,987.35",0.00,106.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.86,89.00,0.38,36.52,0.00,39.97,37.95,5.40,0.77,55.63,17.54,0.00,0.00,283.16, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"12,484.23",, Djibouti,"1,299.47","8,288.68",138.38,10.65,93.51,8.70,"9,839.38",0.00,30.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.32,117.43,3.33,45.97,0.09,0.45,85.34,30.53,11.33,49.62,1.74,101.47,447.30, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,"10,317.01"
Dominica,18.84,57.61,0.00,0.00,0.00,0.06,76.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.79,0.15,6.69,0.08,0.29,5.02,0.42,1.15,1.42,1.17,0.66,0.05,24.88, , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,101.38,, Dominica,12.19,77.79,0.00,0.00,0.00,0.14,90.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.01,0.68,0.00,0.00,1.50,0.53,0.14,0.76,0.03,1.78,7.33, , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,,,0.00,97.45
Dominican Republic,"3,576.05","19,412.10",19.97,3.09,33.55,10.51,"23,055.27",0.00,0.00,0.00,0.00,0.00,8.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.99,"2,073.29",49.69,"1,678.17",6.93,98.55,"1,402.06",142.89,248.26,345.47,396.69,223.20,4.12,"6,669.33", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,  0.02 ,,  0.02 ,"29,742.59",, Dominican Republic,"2,213.29","14,117.44",348.15,22.24,215.05,20.99,"16,937.15",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.71,462.25,11.22,178.91,0.28,1.46,340.88,121.39,42.46,193.88,6.66,404.46,"1,763.86", , , , , , , , ,0.00,0.00,0.00,0.00,,0.00,,0.00,  0.00 ,  0.01 ,0.01,"18,701.74"
Ecuador,"2,377.49","40,489.26",20.84,3.23,36.08,21.58,"42,948.48",0.00,6.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.56,32.74,0.00,0.00,0.00,0.00,0.00,0.00,32.74,39.30,439.46,11.52,346.48,0.12,22.86,303.12,33.04,47.34,70.44,91.75,51.65,0.07,"1,417.84", , , , , , , , ,  -   ,  -   ,  -   ,  -   ,,  -   ,,,  -   ,"44,412.18",, Ecuador,"3,315.74","21,149.45",835.25,65.24,587.76,53.36,"26,006.80",0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,2.99,0.00,0.00,0.00,0.00,0.00,2.99,4.49,119.06,1.08,44.62,0.02,0.09,91.28,32.87,10.02,48.86,1.79,109.41,459.10, , , , , , , , ,0.00,0.00,0.00,0.00,  -   ,0.00,,0.00,,,0.00,"26,470.39"
